region,year,population65
Alabama,2020,842607
Alaska,2020,96388
Arizona,2020,1520622
Arkansas,2020,531028
California,2020,6199126
Colorado,2020,750903
Connecticut,2020,642541
Delaware,2020,176121
District of Columbia,2020,61535
Florida,2020,5106857
Georgia,2020,1409923
Hawaii,2020,264527
Idaho,2020,269439
Illinois,2020,1988764
Indiana,2020,1019707
Iowa,2020,556540
Kansas,2020,479919
Kentucky,2020,729741
Louisiana,2020,763468
Maine,2020,293990
Maryland,2020,962160
Massachusetts,2020,1159817
Michigan,2020,1711476
Minnesota,2020,909950
Mississippi,2020,499190
Missouri,2020,1047071
Montana,2020,211783
Nebraska,2020,308994
Nevada,2020,531120
New Hampshire,2020,261856
New Jersey,2020,1552544
New Mexico,2020,419690
New York,2020,3250020
North Carolina,2020,1618578
North Dakota,2020,125023
Ohio,2020,1978464
Oklahoma,2020,625384
Oregon,2020,704866
Pennsylvania,2020,2403118
Rhode Island,2020,197972
South Carolina,2020,866250
South Dakota,2020,148398
Tennessee,2020,1121063
Texas,2020,3755814
Utah,2020,341095
Vermont,2020,136449
Virginia,2020,1404580
Washington,2020,1168199
West Virginia,2020,372024
Wisconsin,2020,1025542
Wyoming,2020,109655